Accessibility settings
AccessibilityShortcutsEnabled	Enable accessibility features shortcuts
QuickAnswersUnitConversionEnabled	Enable Quick Answers Unit Conversion
Quick unlock
PinUnlockAutosubmitEnabled	Enable PIN auto-submit feature on the lock and login screen.
PinUnlockMaximumLength	Set the maximum length of the lock screen PIN
PinUnlockMinimumLength	Set the minimum length of the lock screen PIN
PinUnlockWeakPinsAllowed	Enable users to set weak PINs for the lock screen PIN
QuickUnlockModeAllowlist	Configure allowed quick unlock modes
QuickUnlockTimeout	Set how often user has to enter password to use quick unlock
Related Website Sets Settings
RelatedWebsiteSetsEnabled	Enable Related Website Sets
RelatedWebsiteSetsOverrides	Override Related Website Sets.
Remote access
RemoteAccessHostAllowClientPairing	Enable or disable PIN-less authentication for remote access hosts
RemoteAccessHostAllowEnterpriseFileTransfer	Enable file transfer capability in enterprise remote support sessions
RemoteAccessHostAllowEnterpriseRemoteSupportConnections	Allow enterprise remote support connections to this machine
RemoteAccessHostAllowFileTransfer	Allow remote access users to transfer files to/from the host
RemoteAccessHostAllowPinAuthentication	Allow PIN and pairing authentication methods for remote access hosts
RemoteAccessHostAllowRelayedConnection	Enable the use of relay servers by the remote access host
RemoteAccessHostAllowRemoteAccessConnections	Allow remote access connections to this machine
RemoteAccessHostAllowRemoteSupportConnections	Allow remote support connections to this machine
RemoteAccessHostAllowUiAccessForRemoteAssistance	Allow remote users to interact with elevated windows in remote assistance sessions
RemoteAccessHostAllowUrlForwarding	Allow remote access users to open host-side URLs in their local client browser
RemoteAccessHostClientDomain	Configure the required domain name for remote access clients
RemoteAccessHostClientDomainList	Configure the required domain names for remote access clients
RemoteAccessHostClipboardSizeBytes	The maximum size, in bytes, that can be transferred between client and host via clipboard synchronization
RemoteAccessHostDomain	Configure the required domain name for remote access hosts
RemoteAccessHostDomainList	Configure the required domain names for remote access hosts
RemoteAccessHostFirewallTraversal	Enable firewall traversal from remote access host
RemoteAccessHostMatchUsername	Require that the name of the local user and the remote access host owner match
RemoteAccessHostMaximumSessionDurationMinutes	Maximum session duration allowed for remote access connections
RemoteAccessHostRequireCurtain	Enable curtaining of remote access hosts
RemoteAccessHostUdpPortRange	Restrict the UDP port range used by the remote access host
Remote attestation
AttestationExtensionAllowlist	Extensions allowed to to use the remote attestation API
AttestationForContentProtectionEnabled	Enable the use of remote attestation for content protection for the device
DeviceWebBasedAttestationAllowedUrls	URLs that will be granted access to perform the device attestation during SAML authentication
Safe Browsing settings
DisableSafeBrowsingProceedAnyway	Disable proceeding from the Safe Browsing warning page
PasswordProtectionChangePasswordURL	Configure the change password URL.
PasswordProtectionLoginURLs	Configure the list of enterprise login URLs where password protection service should capture salted hashes of passwords.
PasswordProtectionWarningTrigger	Password protection warning trigger
SafeBrowsingAllowlistDomains	Configure the list of domains on which Safe Browsing will not trigger warnings.
SafeBrowsingDeepScanningEnabled	Allow download deep scanning for Safe Browsing-enabled users
SafeBrowsingEnabled	Enable Safe Browsing
SafeBrowsingExtendedReportingEnabled	Enable Safe Browsing Extended Reporting
SafeBrowsingProtectionLevel	Safe Browsing Protection Level
SafeBrowsingProxiedRealTimeChecksAllowed	Allow Safe Browsing Proxied Real Time Checks
SafeBrowsingSurveysEnabled	Allow Safe Browsing Surveys
Saml user identity management settings
LockScreenReauthenticationEnabled	Enables online re-authentication on lock screen for SAML users
SAMLOfflineSigninTimeLimit	Limit the time for which a user authenticated via SAML can log in offline
SamlInSessionPasswordChangeEnabled	Password synchronization between third-party SSO providers and Chrome devices
SamlPasswordExpirationAdvanceWarningDays	How many days in advance to notify SAML users when their password is due to expire
Screencast
ProjectorDogfoodForFamilyLinkEnabled	Enable Screencast dogfood for Family Link users
ProjectorEnabled	Enable Screencast
Screensaver Settings
DeviceScreensaverLoginScreenEnabled	Device screensaver login screen enabled.
DeviceScreensaverLoginScreenIdleTimeoutSeconds	Device screensaver login screen idle timeout.
DeviceScreensaverLoginScreenImageDisplayIntervalSeconds	Device screensaver login screen image display interval.
DeviceScreensaverLoginScreenImages	Device screensaver login screen image source.
ScreensaverLockScreenEnabled	User screensaver lock screen enabled.
ScreensaverLockScreenIdleTimeoutSeconds	User screensaver lock screen idle timeout.
ScreensaverLockScreenImageDisplayIntervalSeconds	User screensaver lock screen image display interval.
ScreensaverLockScreenImages	User screensaver lock screen image source.
Sign-in settings
BoundSessionCredentialsEnabled	Bind Google credentials to a device
DeviceAllowNewUsers	Allow creation of new user accounts
DeviceAuthenticationFlowAutoReloadInterval	Automatically reload authentication flow on ChromeOS
DeviceAutofillSAMLUsername	Autofill username on SAML IdP page
DeviceEphemeralUsersEnabled	Wipe user data on sign-out
DeviceFamilyLinkAccountsAllowed	Allow addition of Family Link accounts to the device
DeviceGuestModeEnabled	Enable guest mode
DeviceLoginScreenAutoSelectCertificateForUrls	Automatically select client certificates for these sites on the sign-in screen
DeviceLoginScreenDomainAutoComplete	Enable domain name autocomplete during user sign in
DeviceLoginScreenExtensions	Configure the list of installed apps and extensions on the login screen
DeviceLoginScreenInputMethods	Device sign-in screen keyboard layouts
DeviceLoginScreenLocales	Device sign-in screen locale
DeviceLoginScreenPromptOnMultipleMatchingCertificates	Prompt when multiple certificates match on the sign-in screen
DeviceLoginScreenSystemInfoEnforced	Force the sign-in screen to show or hide system information.
DeviceRunAutomaticCleanupOnLogin	Control automatic cleanup during login
DeviceSecondFactorAuthentication	Integrated second factor authentication mode
DeviceShowNumericKeyboardForPassword	Show numeric keyboard for password
DeviceShowUserNamesOnSignin	Show usernames on login screen
DeviceTransferSAMLCookies	Transfer SAML IdP cookies during login
DeviceUserAllowlist	Login user allow list
DeviceWallpaperImage	Device wallpaper image
ExtensibleEnterpriseSSOBlocklist	Blocklist of identity providers that cannot use Extensible Enterprise SSO for the browser
LoginAuthenticationBehavior	Configure the login authentication behavior
LoginVideoCaptureAllowedUrls	URLs that will be granted access to video capture devices on SAML login pages
ProfileSeparationDomainExceptionList	Enterprise profile separation secondary domain allowlist
RecoveryFactorBehavior	Account recovery
Startup, Home page and New Tab page
HomepageIsNewTabPage	Use New Tab Page as homepage
HomepageLocation	Configure the home page URL
NewTabPageLocation	Configure the New Tab page URL
RestoreOnStartup	Action on startup
RestoreOnStartupURLs	URLs to open on startup
ShowHomeButton	Show Home button on toolbar
User and device reporting
DeviceActivityHeartbeatEnabled	Enable device activity heartbeat reporting
DeviceExtensionsSystemLogEnabled	Enable extensions system logging
DeviceFlexHwDataForProductImprovementEnabled	Send hardware data to Google to support improvements to ChromeOS Flex
DeviceMetricsReportingEnabled	Enable metrics reporting
DeviceReportNetworkEvents	Report network events
DeviceReportRuntimeCounters	Report device runtime counters
DeviceReportXDREvents	Report extended detection and response (XDR) events
HeartbeatEnabled	Send network packets to the management server to monitor online status
HeartbeatFrequency	Frequency of monitoring network packets
LogUploadEnabled	Send system logs to the management server
ReportAppInventory	App inventory reporting
ReportAppUsage	App usage reporting
ReportArcStatusEnabled	Report information about status of Android
ReportCRDSessions	Report CRD sessions
ReportDeviceActivityTimes	Report device activity times
ReportDeviceAppInfo	Report applications information
ReportDeviceAudioStatus	Report device audio status
ReportDeviceBacklightInfo	Report backlight info
ReportDeviceBluetoothInfo	Report Bluetooth info
ReportDeviceBoardStatus	Report board status
ReportDeviceBootMode	Report device boot mode
ReportDeviceCpuInfo	Report CPU info
ReportDeviceCrashReportInfo	Report information about crash reports.
ReportDeviceFanInfo	Report fan info
ReportDeviceGraphicsStatus	Report display and graphics statuses
ReportDeviceHardwareStatus	Report hardware status
ReportDeviceLoginLogout	Report login/logout
ReportDeviceMemoryInfo	Report memory info
ReportDeviceNetworkConfiguration	Report network configuration
ReportDeviceNetworkInterfaces	Report device network interfaces
ReportDeviceNetworkStatus	Report network status
ReportDeviceOsUpdateStatus	Report OS update status
ReportDevicePeripherals	Report peripheral details
ReportDevicePowerStatus	Report power status
ReportDevicePrintJobs	Report print jobs
ReportDeviceSecurityStatus	Report device security status
ReportDeviceSessionStatus	Report information about active kiosk sessions
ReportDeviceStorageStatus	Report storage status
ReportDeviceSystemInfo	Report system info
ReportDeviceTimezoneInfo	Report Timezone info
ReportDeviceUsers	Report device users
ReportDeviceVersionInfo	Report OS and firmware version
ReportDeviceVpdInfo	Report VPD info
ReportUploadFrequency	Frequency of device status report uploads
ReportWebsiteActivityAllowlist	Website activity reporting allowlist
ReportWebsiteTelemetry	Website telemetry reporting
ReportWebsiteTelemetryAllowlist	Website telemetry reporting allowlist
WebRtc settings
WebRtcIPHandling	WebRTC IP handling
WebRtcIPHandlingUrl	WebRTC per URL IP Handling
WebRtcPostQuantumKeyAgreement	Enable post-quantum key agreement for WebRTC
